account_type,moyenne_followers,moyenne_friends,moyenne_statuses,moyenne_favourites
,610489.015,1909.5,,5.0
human,517719.39660962735,4207.78598272829,21465.817407644332,16186.695386214617
bot,73500.2738028169,4925.660442655935,20284.493521126762,4483.1367404426555
