account_type,count,pourcentage,moyenne_followers,moyenne_friends,moyenne_statuses,moyenne_favourites,tweets_par_jour,age_moyen_compte,pourcentage_description,pourcentage_verified,pourcentage_geo_enabled
human,25012,66.80733993963514,517719.3964097233,4207.78598272829,21465.817407644332,16186.695386214617,6.71274312177434,3173.5384215576523,88.36558451943067,0.0,0.0
bot,12425,33.18731803734074,73500.27372233401,4925.660442655935,20284.493521126762,4483.1367404426555,7.252240657458303,2717.2749295774647,65.03018108651911,0.0,0.0
